Year,Table_Entry,Fragment,Lead
2020,13,NCC(=O)Nc1cccc(OC(F)(F)F)c1,CS(=O)(=O)C[C@H](O)[C@@H](N)C(=O)N1CCC(Cc2ccc(C#Cc3ccc(CO)cc3)cc2)CC1
2020,14,OC(COc1ccccc1)Cn2ccnc2,C[C@H](O)c1nccn1Cc2cc(C#Cc3ccc(OCC(N)(CO)CO)cc3)on2
2020,15,OC(=O)/C=C\1/OC(=O)N2CCC[C@H]21,CCN(CC)CCN(Cc1ccc(cc1)c2ccc(cc2OCC(F)(F)F)C(F)(F)F)C(=O)/C=C\3/OC(=O)N4CCC[C@H]43
2020,16,CNc1cccc2ccc(=O)[nH]c12,CNc1cccc2cc(C(=O)Nc3ccc(cc3)C(=O)O)c(=O)[nH]c12
2020,17,OCc1cn(nn1)c2ccc(Cl)cc2,FC(F)(F)c1cc(ccc1Cl)c2n[nH]c(=O)o2
2020,18,OC(=O)C1CCN(C1)c2ccccc2,OC(=O)[C@H]1CCN(C1)c2ccc(Cl)c(c2)C(F)(F)F
2020,19,OCCCc1ccc(OCc2ccccc2)cc1,FC(F)(F)c1coc(NC(=O)CCc2ccc(OCc3ccccc3)cc2)n1
2020,20,CS(=O)(=O)c1ccc2[nH]c(nc2c1)c3ccccc3,FC(F)(F)c1ccc2[nH]c(nc2c1)c3c(Cl)cc(cc3Cl)c4cn[nH]c4
2020,21,CS(=O)(=O)N1CCN(CC1)c2ccc3nncn3n2,CC(C)(C)CC(=O)N[C@@H](CS(=O)(=O)N1CCN(CC1)c2ccccn2)C(=O)NC3(CC3)C#N
2019,1,Nc1ncccc1C(=O)Nc2ccccc2,Nc1ncc(cc1C(=O)Nc2ccncc2)c3cccc(c3)N4CCNCC4
2019,2,NC(=O)c1cnn(c1N)c2ccccc2,NC(=O)c1c(nn2C[C@H]3C[C@H](O)[C@H](C3)Nc12)c4ccc5scnc5c4
2019,3,NC(=N)c1ccccc1,NC(=N)c1ccc(cc1OCc2cccnc2)[C@H]3Cc4ccc(cc4B(O)O3)C(F)(F)F
2019,4,c1ncc([nH]1)c2ccccc2,O[C@H](C[C@H]1c2c(cccc2F)-c3cncn13)[C@H]4CC[C@H](O)CC4
2019,5,Oc1cc(Br)c[nH]c1=O,OC(=O)c1ccc(cc1)c2cc(O)c(=O)[nH]c2c3ccc(F)cc3
2019,6,O=C1Nc2ccccc2C1=O,Clc1ccc(COc2ccc3NC(=O)C(=O)c3c2)cc1Cl
2019,7,Nc1nc2cc(Cl)ccc2n1CCCO,Nc1nc2c(ccnc2[nH]1)c3ccncc3F
2019,8,Cc1ccccc1OCC(=O)Nc2cccnc2,CC(C)n1cc2ccc(NC(=O)COc3ccccc3C)cc2n1
2019,9,Cc1noc(C)c1c2[nH]ncc2c3ccncc3,Cc1cc(CN)cc(C)c1c2ncn(C)c2c3ccnc4cc(F)ccc34
2019,10,Cc1cc(=O)c(O)c([nH]1)C(=O)O,OC(=O)c1[nH]c(cc(=O)c1O)c2ccc(cc2C(F)(F)F)c3nnn[nH]3
2019,11,Cn1nc(cc1C(=O)NC2CC2)c3ccccc3,Cc1cc2n(C)c(cc2c(Cl)c1Cl)C(=O)N[C@H](CO)c3ccc(cc3)S(=O)(=O)CC(=O)O
2019,12,COc1ccc(cc1)c2cc(N)n[nH]2,Nc1n[nH]c(c1C#N)c2ccc3ccn(Cc4ccc(CN5CCCC5)cc4)c3c2
2019,13,O[C@@H]1CO[C@@H]2C[C@@H]1Nc3ccc(F)cc23,O[C@@H]1CO[C@H]2C[C@H]1Nc3ccc(CNC(=O)CN4C(=O)[C@H]5[C@H]6CC[C@H](C6)[C@H]5C4=O)cc23
2019,14,C(c1c[nH]c2ccccc12)c3nc4ccncc4[nH]3,Cn1cnc(Cn2ccc3ccc(CNCc4[nH]c5ccccc5c4[C@H]6NC(=O)c7ccc(O)cc67)cc23)c1
2019,15,Nc1ccc2cc(ccc2n1)N3CCOCC3,CC(=O)O[Rh](OC(=O)C)[Rh](OC(=O)C)OC(=O)CCCN1CCN(CC1)c2ccc3nc(N)ccc3c2
2019,16,CCc1sc2ncnc(N[C@@H](C)C(=O)O)c2c1CC,CCc1sc2ncnc(O[C@H](Cc3ccccc3)C(=O)O)c2c1c4ccc(OCCN5CCN(C)CC5)c(Cl)c4C
2019,17,CC(C)Sc1nnnn1c2ccccc2,COc1ccc(CSc2nnc(c3ccc(OCC(=O)Nc4cccnc4)cc3)n2Cc5ccccc5)cc1
2019,18,Cc1ccc(C)c(Cn2c(CO)nc3ccccc23)c1,Cc1ccc(C)c(Cn2c(nc3ccc(cc23)c4cnn(C)c4)C(O)c5ccncc5)c1
2019,19,C(c1ccccc1)n2nnc3ccccc23,Brc1cccc2n(CC3CCCCC3)nnc12
2019,20,NC(=N)C1(CCC1)c2cccc(Cl)c2,CN(C)CCNC(=O)c1ccc(cc1)c2cc(Cl)cc(c2)C3(CCC3)C(=N)N
2018,1,O=c1[nH]cnc2ccc(cc12)c3cn[nH]c3,O=c1n(cnc2ccc(cc12)c3ccnc4ccccc34)c5ccc(cc5)N6CCOCC6
2018,2,O=c1[nH]cnc2ccc(cc12)c3cn[nH]c3,Cc1cc2ccc(c(C)c2c(=O)[nH]1)c3ccnc4ccccc34
2018,3,COC(=O)c1ccc(Cl)cc1N,O[C@@H]1CCN(C1)c2ncc(cc2c3ccn[nH]3)C(=O)Nc4ccc(OC(F)(F)Cl)cc4
2018,4,NC(=O)c1ccc(NC2CCCCC2)nc1,C[C@H]1CN(C[C@@H](C)O1)c2ccc(Nc3nc(ccc3C(=O)N)N4CC[C@@H](C4)NC(=O)C=C)cc2
2018,5,Clc1cccc2c(C#N)c[nH]c12,Ic1cccc2c(C#N)c([nH]c12)c3ccccc3
2018,6,Cc1c(Nc2ncc(C)cn2)cnn1C,C[C@@H](N1Cc2ccc(cc2C1=O)c3nc(NC4CCOCC4)ncc3Cl)C(=O)N[C@H](CO)c5cccc(C)c5
2018,7,NC(=O)c1ccc(Nc2ccncn2)cc1,Cc1cc(Nc2cc(N)ncn2)c(=O)n3c1C(=O)NC43CCCCC4
2018,8,OCCNc1ccc2ncc(c3ccc(Cl)cc3)n2n1,CN(C)C1CCN(CC1)C(=O)c2ccc(cc2)c3ccc4ncc(c5ccc(C#N)cc5)n4n3
2018,9,Brc1ccnc2[nH]ccc12,COc1cc2CCNCc2cc1c3cnn4ccc(cc34)c5ccnc6[nH]ccc56
2018,10,O=c1[nH]cnc2sccc12,C[C@H](CC(=O)N1CCC(O)(Cn2cnc3c(c4ccc(CN)cc4)n(C)nc3c2=O)CC1)c5ccccc5
2018,11,CN(C)Cc1n[nH]c2ccc(cc12)c3ccc(F)cc3C,CN(C)Cc1nn(C)c2ccc(cc12)c3ccc(F)c(F)c3OCCc4c(C)nn(C)c4C
2018,12,Brc1ccc(cc1)c2c[nH]cn2,C[C@H](Oc1ccc(cc1)c2cn(C)cn2)C(=O)Nc3nc(c[nH]3)c4ccc(Br)cc4
2018,13,CCOC(=O)c1ccnc2[nH]ccc12,CCNC(=O)c1cc2c(ccnc2[nH]1)N3CCOC[C@@H]3C
2018,14,O=C(Cc1ccccc1)Nc2ccc3nc[nH]c3c2,CC(C)CCNC(=O)c1ccc(NC(=O)Nc2ccc3nc[nH]c3c2)cc1
2018,15,Cc1cc2nccc(c3ccc(Cl)cc3)n2n1,Cc1cc(C)n2nc(CCc3cc(O)n4nc5ccccc5c4n3)nc2n1
